PointName,TimeStamp,Status,Value
data:FromIoTWorX.Motor Speed,20201015T16:09:59.465,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:10:14.696,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:10:29.845,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:10:45.034,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:10:59.696,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:11:14.870,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:11:30.020,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:11:45.172,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:12:00.456,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:12:15.144,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:12:30.344,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:12:45.541,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:13:00.784,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:13:15.930,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:13:30.602,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:13:45.784,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:14:00.920,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:14:16.098,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:14:31.275,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:14:46.439,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:15:01.629,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:15:16.282,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:15:31.458,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:15:46.577,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:15:01.631,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:15:16.294,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:15:31.460,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:15:46.585,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:15:01.630,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:15:16.290,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:15:31.459,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:15:46.582,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:15:01.630,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:15:16.292,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:15:31.459,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:15:46.583,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:16:01.694,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:16:16.825,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:16:31.987,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:16:47.168,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:16:01.699,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:16:16.831,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:16:31.990,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:16:47.173,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:16:01.696,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:16:16.830,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:16:31.987,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:16:47.169,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:16:01.697,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:16:16.830,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:16:31.990,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:16:47.172,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:16:01.702,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:16:16.833,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:16:31.991,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:16:47.174,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:17:02.342,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:17:16.987,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:17:32.157,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:17:47.404,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:17:02.354,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:17:16.990,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:17:32.161,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:17:47.417,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:17:02.344,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:17:16.988,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:17:32.158,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:17:47.414,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:17:02.352,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:17:16.989,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:17:32.158,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:17:47.415,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:17:02.357,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:17:16.992,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:17:32.162,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:17:47.420,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:18:02.620,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:18:17.876,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:18:32.544,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:18:47.749,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:18:02.624,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:18:17.881,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:18:32.556,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:18:47.754,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:18:02.623,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:18:17.880,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:18:32.546,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:18:47.751,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:18:02.624,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:18:17.880,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:18:32.548,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:18:47.752,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:18:02.625,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:18:17.882,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:18:32.559,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:18:47.757,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:19:02.890,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:19:18.067,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:19:33.203,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:19:48.356,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:19:02.894,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:19:18.072,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:19:33.206,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:19:48.360,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:19:02.892,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:19:18.069,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:19:33.204,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:19:48.357,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:19:02.893,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:19:18.070,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:19:33.205,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:19:48.357,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:19:02.895,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:19:18.075,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:19:33.208,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:19:48.361,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:20:03.525,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:20:18.680,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:20:33.863,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:20:49.102,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:21:03.794,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:21:19.013,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:21:34.261,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:21:49.400,2147483648,
data:FromIoTWorX.Motor Speed,20201015T16:21:49.401,2157641728,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:20:03.530,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:20:18.682,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:20:33.868,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:20:49.105,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:21:03.796,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:21:19.016,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:21:34.263,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:21:49.404,2147483648,
data:FromIoTWorX.Accumulated_Operation_Minutes,20201015T16:21:49.405,2157641728,
data:FromIoTWorX.DC Bus Voltage,20201015T16:20:03.528,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:20:18.681,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:20:33.865,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:20:49.102,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:21:03.795,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:21:19.014,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:21:34.262,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:21:49.401,2147483648,
data:FromIoTWorX.DC Bus Voltage,20201015T16:21:49.402,2157641728,
data:FromIoTWorX.Frequency Command CMD,20201015T16:20:03.529,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:20:18.681,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:20:33.866,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:20:49.104,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:21:03.795,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:21:19.015,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:21:34.262,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:21:49.401,2147483648,
data:FromIoTWorX.Frequency Command CMD,20201015T16:21:49.402,2157641728,
data:FromIoTWorX.Power Consumed,20201015T16:20:03.532,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:20:18.686,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:20:33.871,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:20:49.106,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:21:03.797,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:21:19.022,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:21:34.264,2147483648,
data:FromIoTWorX.Power Consumed,20201015T16:21:49.405,2147483648,
